Experiment ID,Drug,Bin [1 sec],Distance_moved [mm],Velocity [mm/s],Moving [s],Not_Moving [s]
0,Bemcentinib_1A04,0:00:00-0:01:00,112.04667777777779,1.8711854444444447,24.102222222222224,35.77777777777778
0,Bemcentinib_1A04,0:01:00-0:02:00,125.1047,2.0878613333333336,27.693333333333335,32.306666666666665
0,Bemcentinib_1A04,0:02:00-0:03:00,129.70114444444445,2.1616855555555556,29.560000000000002,30.439999999999998
0,Bemcentinib_1A04,0:03:00-0:04:00,134.01214444444446,2.236518888888889,30.555555555555557,29.444444444444443
0,Bemcentinib_1A04,0:04:00-0:05:00,135.89243333333332,2.2648744444444446,29.63111111111111,30.36888888888889
0,Bemcentinib_1A04,0:05:00-0:06:00,125.45646666666669,2.0909414444444447,26.484444444444446,33.51555555555555
0,Bemcentinib_1A04,0:06:00-0:07:00,111.95968888888889,1.8684867777777778,25.266666666666666,34.733333333333334
0,Bemcentinib_1A04,0:07:00-0:08:00,109.40496666666667,1.8234153333333336,23.24,36.760000000000005
0,Bemcentinib_1A04,0:08:00-0:09:00,78.9846888888889,1.3164113333333334,17.32888888888889,42.67111111111112
0,Bemcentinib_1A04,0:09:00-0:10:00,76.03734444444444,1.2689799222222222,15.977777777777776,44.02222222222222
0,Bemcentinib_1A04,0:10:00-0:11:00,63.363963444444444,1.056064511111111,13.168888888888889,46.83111111111111
0,Bemcentinib_1A04,0:11:00-0:12:00,55.80137688888889,0.93002393,11.88888888888889,48.111111111111114
0,Bemcentinib_1A04,0:12:00-0:13:00,57.46121111111111,0.958965888888889,11.711111111111112,48.28888888888889
0,Bemcentinib_1A04,0:13:00-0:14:00,42.29505666666667,0.7049172111111112,9.377777777777778,50.62222222222223
0,Bemcentinib_1A04,0:14:00-0:15:00,47.821956666666665,0.7970313222222223,10.355555555555556,49.644444444444446
0,Bemcentinib_1A04,0:15:00-0:16:00,48.656265888888896,0.8120203800000001,9.426666666666668,50.57333333333334
0,Bemcentinib_1A04,0:16:00-0:17:00,46.30520444444445,0.7717535666666666,9.813333333333333,50.18666666666667
0,Bemcentinib_1A04,0:17:00-0:18:00,36.85632011111111,0.6150924,8.084444444444445,51.91555555555556
0,Bemcentinib_1A04,0:18:00-0:19:00,41.79508666666666,0.6965854555555555,7.928888888888888,52.07111111111111
0,Bemcentinib_1A04,0:19:00-0:20:00,39.08869444444444,0.6514797888888889,7.555555555555555,52.44444444444444
0,Bemcentinib_1A04,0:20:00-0:21:00,44.13159255555556,0.7365076677777778,8.942222222222222,51.05777777777777
0,Bemcentinib_1A04,0:21:00-0:22:00,28.927245555555558,0.4821209111111111,6.248888888888889,53.75111111111111
0,Bemcentinib_1A04,0:22:00-0:23:00,24.76250488888889,0.41270777777777773,4.697777777777778,55.30222222222222
0,Bemcentinib_1A04,0:23:00-0:24:00,26.214382222222223,0.43748946666666666,5.155555555555556,54.84444444444445
0,Bemcentinib_1A04,0:24:00-0:25:00,23.05051677777778,0.3841761222222222,4.319999999999999,55.68
0,Bemcentinib_1A04,0:25:00-0:26:00,18.474961333333333,0.30791613444444443,3.373333333333333,56.626666666666665
0,Bemcentinib_1A04,0:26:00-0:27:00,16.468597555555554,0.27484326666666664,2.8355555555555556,57.16444444444445
0,Bemcentinib_1A04,0:27:00-0:28:00,19.251058333333336,0.32085086777777777,3.395555555555555,56.60444444444445
0,Bemcentinib_1A04,0:28:00-0:29:00,15.075317444444444,0.25125519999999996,2.4177777777777774,57.58222222222222
0,Bemcentinib_1A04,0:29:00-0:30:00,13.414645111111112,0.2238756988888889,1.9555555555555557,58.044444444444444
0,Bemcentinib_1A04,0:30:00-0:31:00,11.924546666666666,0.19874235555555553,2.106666666666667,57.89333333333333
0,Bemcentinib_1A04,0:31:00-0:32:00,2.106953,0.03516277777777778,0.0,60.0
0,Bemcentinib_1A04,0:32:00-0:33:00,3.1753122222222223,0.05292183666666666,0.3022222222222222,59.69777777777777
0,Bemcentinib_1A04,0:33:00-0:34:00,8.163203444444445,0.13605354444444445,1.6888888888888889,58.3111111111111
0,Bemcentinib_1A04,0:34:00-0:35:00,3.5970945555555556,0.06003169333333333,0.1733333333333333,59.826666666666675
0,Bemcentinib_1A04,0:35:00-0:36:00,1.899035111111111,0.031650585555555555,0.05333333333333333,59.946666666666665
0,Bemcentinib_1A04,0:36:00-0:37:00,4.394884444444445,0.07324814444444444,0.4666666666666667,59.53333333333333
0,Bemcentinib_1A04,0:37:00-0:38:00,5.323313,0.08884028222222223,0.6488888888888888,59.35111111111111
0,Bemcentinib_1A04,0:38:00-0:39:00,6.928873333333333,0.11548132222222224,1.0577777777777777,58.94222222222223
